time (s),freq(clip(vtime("tran" "/OUT" nil ) 50n 100n ) "rising" ?xName "time" ?mode "user" ?threshold -0.06) (Hz)
50.03E-9,15.88E9
50.09E-9,15.87E9
50.15E-9,15.88E9
50.22E-9,15.89E9
50.28E-9,15.87E9
50.34E-9,15.88E9
50.41E-9,15.88E9
50.47E-9,15.87E9
50.53E-9,15.88E9
50.59E-9,15.88E9
50.66E-9,15.88E9
50.72E-9,15.88E9
50.78E-9,15.88E9
50.85E-9,15.88E9
50.91E-9,15.88E9
50.97E-9,15.88E9
51.03E-9,15.88E9
51.10E-9,15.88E9
51.16E-9,15.88E9
51.22E-9,15.88E9
51.29E-9,15.88E9
51.35E-9,15.87E9
51.41E-9,15.88E9
51.48E-9,15.87E9
51.54E-9,15.87E9
51.60E-9,15.86E9
51.66E-9,15.86E9
51.73E-9,15.86E9
51.79E-9,15.86E9
51.85E-9,15.87E9
51.92E-9,15.87E9
51.98E-9,15.87E9
52.04E-9,15.86E9
52.11E-9,15.87E9
52.17E-9,15.87E9
52.23E-9,15.87E9
52.30E-9,15.86E9
52.36E-9,15.87E9
52.42E-9,15.88E9
52.48E-9,15.87E9
52.55E-9,15.87E9
52.61E-9,15.88E9
52.67E-9,15.87E9
52.74E-9,15.88E9
52.80E-9,15.87E9
52.86E-9,15.88E9
52.93E-9,15.88E9
52.99E-9,15.87E9
53.05E-9,15.88E9
53.11E-9,15.88E9
53.18E-9,15.88E9
53.24E-9,15.88E9
53.30E-9,15.87E9
53.37E-9,15.88E9
53.43E-9,15.88E9
53.49E-9,15.88E9
53.55E-9,15.88E9
53.62E-9,15.88E9
53.68E-9,15.88E9
53.74E-9,15.88E9
53.81E-9,15.88E9
53.87E-9,15.87E9
53.93E-9,15.87E9
54.00E-9,15.88E9
54.06E-9,15.87E9
54.12E-9,15.88E9
54.18E-9,15.87E9
54.25E-9,15.87E9
54.31E-9,15.87E9
54.37E-9,15.88E9
54.44E-9,15.88E9
54.50E-9,15.87E9
54.56E-9,15.86E9
54.63E-9,15.87E9
54.69E-9,15.87E9
54.75E-9,15.87E9
54.81E-9,15.87E9
54.88E-9,15.86E9
54.94E-9,15.87E9
55.00E-9,15.86E9
55.07E-9,15.87E9
55.13E-9,15.86E9
55.19E-9,15.86E9
55.26E-9,15.87E9
55.32E-9,15.87E9
55.38E-9,15.87E9
55.45E-9,15.87E9
55.51E-9,15.87E9
55.57E-9,15.87E9
55.63E-9,15.87E9
55.70E-9,15.87E9
55.76E-9,15.86E9
55.82E-9,15.87E9
55.89E-9,15.87E9
55.95E-9,15.87E9
56.01E-9,15.86E9
56.08E-9,15.86E9
56.14E-9,15.86E9
56.20E-9,15.86E9
56.26E-9,15.86E9
56.33E-9,15.86E9
56.39E-9,15.86E9
56.45E-9,15.87E9
56.52E-9,15.87E9
56.58E-9,15.87E9
56.64E-9,15.87E9
56.71E-9,15.88E9
56.77E-9,15.87E9
56.83E-9,15.87E9
56.89E-9,15.87E9
56.96E-9,15.87E9
57.02E-9,15.87E9
57.08E-9,15.87E9
57.15E-9,15.88E9
57.21E-9,15.88E9
57.27E-9,15.87E9
57.34E-9,15.88E9
57.40E-9,15.88E9
57.46E-9,15.88E9
57.52E-9,15.87E9
57.59E-9,15.89E9
57.65E-9,15.88E9
57.71E-9,15.87E9
57.78E-9,15.89E9
57.84E-9,15.88E9
57.90E-9,15.87E9
57.97E-9,15.89E9
58.03E-9,15.88E9
58.09E-9,15.87E9
58.15E-9,15.88E9
58.22E-9,15.88E9
58.28E-9,15.88E9
58.34E-9,15.87E9
58.41E-9,15.88E9
58.47E-9,15.88E9
58.53E-9,15.88E9
58.60E-9,15.88E9
58.66E-9,15.88E9
58.72E-9,15.88E9
58.78E-9,15.88E9
58.85E-9,15.88E9
58.91E-9,15.88E9
58.97E-9,15.88E9
59.04E-9,15.88E9
59.10E-9,15.88E9
59.16E-9,15.88E9
59.22E-9,15.87E9
59.29E-9,15.88E9
59.35E-9,15.87E9
59.41E-9,15.87E9
59.48E-9,15.86E9
59.54E-9,15.87E9
59.60E-9,15.86E9
59.67E-9,15.86E9
59.73E-9,15.87E9
59.79E-9,15.87E9
59.86E-9,15.87E9
59.92E-9,15.86E9
59.98E-9,15.87E9
60.04E-9,15.87E9
60.11E-9,15.87E9
60.17E-9,15.87E9
60.23E-9,15.87E9
60.30E-9,15.88E9
60.36E-9,15.87E9
60.42E-9,15.87E9
60.49E-9,15.88E9
60.55E-9,15.87E9
60.61E-9,15.88E9
60.67E-9,15.87E9
60.74E-9,15.88E9
60.80E-9,15.88E9
60.86E-9,15.87E9
60.93E-9,15.88E9
60.99E-9,15.88E9
61.05E-9,15.88E9
61.12E-9,15.88E9
61.18E-9,15.87E9
61.24E-9,15.88E9
61.30E-9,15.88E9
61.37E-9,15.88E9
61.43E-9,15.88E9
61.49E-9,15.88E9
61.56E-9,15.88E9
61.62E-9,15.88E9
61.68E-9,15.88E9
61.74E-9,15.87E9
61.81E-9,15.87E9
61.87E-9,15.88E9
61.93E-9,15.87E9
62.00E-9,15.89E9
62.06E-9,15.87E9
62.12E-9,15.87E9
62.19E-9,15.87E9
62.25E-9,15.88E9
62.31E-9,15.88E9
62.37E-9,15.87E9
62.44E-9,15.86E9
62.50E-9,15.87E9
62.56E-9,15.87E9
62.63E-9,15.87E9
62.69E-9,15.87E9
62.75E-9,15.86E9
62.82E-9,15.87E9
62.88E-9,15.86E9
62.94E-9,15.87E9
63.01E-9,15.86E9
63.07E-9,15.86E9
63.13E-9,15.87E9
63.19E-9,15.87E9
63.26E-9,15.87E9
63.32E-9,15.87E9
63.38E-9,15.87E9
63.45E-9,15.87E9
63.51E-9,15.86E9
63.57E-9,15.87E9
63.64E-9,15.87E9
63.70E-9,15.86E9
63.76E-9,15.87E9
63.82E-9,15.87E9
63.89E-9,15.87E9
63.95E-9,15.86E9
64.01E-9,15.87E9
64.08E-9,15.86E9
64.14E-9,15.86E9
64.20E-9,15.86E9
64.27E-9,15.86E9
64.33E-9,15.87E9
64.39E-9,15.87E9
64.45E-9,15.87E9
64.52E-9,15.87E9
64.58E-9,15.88E9
64.64E-9,15.87E9
64.71E-9,15.87E9
64.77E-9,15.87E9
64.83E-9,15.87E9
64.90E-9,15.87E9
64.96E-9,15.88E9
65.02E-9,15.88E9
65.08E-9,15.87E9
65.15E-9,15.88E9
65.21E-9,15.88E9
65.27E-9,15.87E9
65.34E-9,15.88E9
65.40E-9,15.88E9
65.46E-9,15.87E9
65.53E-9,15.88E9
65.59E-9,15.89E9
65.65E-9,15.88E9
65.71E-9,15.87E9
65.78E-9,15.88E9
65.84E-9,15.87E9
65.90E-9,15.87E9
65.97E-9,15.88E9
66.03E-9,15.89E9
66.09E-9,15.88E9
66.16E-9,15.88E9
66.22E-9,15.87E9
66.28E-9,15.88E9
66.34E-9,15.88E9
66.41E-9,15.88E9
66.47E-9,15.88E9
66.53E-9,15.88E9
66.60E-9,15.88E9
66.66E-9,15.88E9
66.72E-9,15.88E9
66.79E-9,15.88E9
66.85E-9,15.88E9
66.91E-9,15.88E9
66.97E-9,15.88E9
67.04E-9,15.88E9
67.10E-9,15.87E9
67.16E-9,15.87E9
67.23E-9,15.87E9
67.29E-9,15.87E9
67.35E-9,15.86E9
67.42E-9,15.86E9
67.48E-9,15.86E9
67.54E-9,15.86E9
67.60E-9,15.87E9
67.67E-9,15.87E9
67.73E-9,15.86E9
67.79E-9,15.86E9
67.86E-9,15.87E9
67.92E-9,15.87E9
67.98E-9,15.87E9
68.05E-9,15.87E9
